name,ratings,location,price_lakhs,price_crores,area_sqft,bhk
cansa dhiya,3.5,panathur,78.0,0.78,970,2
green view,,electronic city,66.0,0.66,1350,3
pride pegasus,,hennur gardens,195.0,1.95,1629,3
ajmera lakeside paradise,,"kempanahalli, near yelahanka new town",90.0,0.9,1100,2
ajmera lakeside paradise,,"kempanahalli, near yelahanka new town",60.0,0.6,666,1
ds max sparkle nest,,"k.narayanapura, thanisandra main road",75.0,0.75,1094,2
shriram sameeksha,4.0,kuvempu nagar,75.0,0.75,1020,2
singsandra hsr,,"singasandra, hosur road",65.0,0.65,1050,2
sree adithya lotus park,,kr puram,83.2,0.8320000000000001,1154,2
sree adithya lotus park,,kr puram,80.78,0.8078,1141,2
sapthagiri sandalwoods,,kadugodi,92.25,0.9225,1230,2
sapthagiri sandalwoods,,kadugodi,94.5,0.945,1260,2
mukunda nandanam,,kadugodi,105.0,1.05,1500,3
assetz sun and sanctum,,"battarahalli, near kr puram",225.0,2.25,1658,3
sobha dream acres,4.2,"balagere, near panathur",160.0,1.6,1205,2
temple vaibhav apartment,,"nyanappana halli, hulimavu",84.0,0.84,1250,3
temple vaibhav apartment,,"nyanappana halli, hulimavu",86.0,0.86,1250,3
hiranandani glen gate,3.7,hebbal,265.0,2.65,1665,3
shapoorji pallonji parkwest 2,,"binny pete, magadi road",275.0,2.75,1939,3
serene at brigade cornerstone utopia,,varthur,180.0,1.8,1242,2
sai sadhan,,electronics city phase 1,67.0,0.67,1269,2
galaxy sri nandana galaxy,,sarjapur,89.0,0.89,1245,2
prestige jindal city,4.1,tumkur road,85.0,0.85,607,1
temple vaibhava apartment,,"nyanappana halli, hulimavu",85.0,0.85,1250,3
sri sai nandana royal,,electronics city phase 1,74.0,0.74,1680,3
bhartiya city nikoo homes 1,,thanisandra,185.0,1.85,1948,3
brigade parkside north,3.7,"jalahalli, bel road",90.0,0.9,1144,2
concorde auriga,,kr puram,96.0,0.96,833,2
sree adithya lotus park,,kr puram,111.00000000000001,1.11,1551,3
skanda,,"singasandra, hosur road",67.5,0.675,1090,2
mukunda nandanam,,kr puram,110.00000000000001,1.1,1575,3
mukunda nandanam,,kr puram,85.68,0.8568000000000001,1260,2
ajmera marina,,"kempanahalli, near yelahanka new town",140.0,1.4,1600,3
h m dwaraka,,rajarajeshwari nagar,180.0,1.8,2400,3
"hennur road, bangalore, bangalore north",,hennur road,300.0,3.0,1200,5
sri nandana galaxy,,sarjapur road,103.0,1.03,1485,3
galaxy sri nandana galaxy,,sarjapur road,95.0,0.95,1350,3
hiranandani glen gate,3.7,hebbal,260.0,2.6,1665,3
sri nandana galaxy,,sarjapur road,98.0,0.98,1395,3
sri nandana galaxy,,sarjapur road,70.71,0.7071,1010,2
sri nandana galaxy,,sarjapur road,70.37,0.7037,1005,2
sumadhura eden garden,3.7,whitefield,92.0,0.92,670,1
nitesh hyde park,3.8,hulimavu,57.0,0.57,800,1
sriram sameeksha,,"jalahalli, bel road",85.0,0.85,1020,2
srs sunrise,,"parappana agrahara, hosa road",102.0,1.02,1398,3
ab daffodils,,"ananth nagar phase 2, electronic city",46.9,0.469,1015,2
sri nandana galaxy,,"dommasandra, sarjapur road",80.82,0.8081999999999999,1160,2
mukunda nandanam project,,kr puram,85.4,0.8540000000000001,1220,2
sapthagiri sandal woods,,kadugodi,90.3,0.903,1204,2
mukunda nandanam,,kr puram,85.05,0.8504999999999999,1215,2
patel smondo 2,,thirupalya,75.0,0.75,1025,2
sobha hrc pristine,3.7,jakkur,305.0,3.05,1819,3
galaxy sri nandana galaxy,,"yamare, sarjapur road",72.0,0.72,1005,2
prestige west woodsmagadi road,,magadi road,190.0,1.9,1268,2
sobha royal pavilion,4.2,sarjapur road,300.0,3.0,1806,3
nitesh hyde park,3.8,hulimavu,74.9,0.7490000000000001,1000,2
nitesh hyde park,3.8,hulimavu,74.55,0.7454999999999999,969,2
godrej united,3.7,whitefield,375.0,3.75,1933,3
habulus samruddhi apartment,3.8,"kammasandra, electronic city",43.5,0.435,1089,2
shriram greenfield,4.0,"bommenahalli, near budigere",108.0,1.08,1225,3
green view,,neeladri nagar,48.5,0.485,945,2
brigade parkside north,3.7,"jalahalli, bel road",88.0,0.88,1268,2
mukunda nandanam,,kr puram,75.25,0.7525,1075,2
prestige park square,3.9,"basavanapura, bannerghatta road",170.0,1.7,1130,2
shriram sameeksha,4.0,kuvempu nagar,79.0,0.79,1020,2
prestige west woodsmagadi road,,magadi road,300.0,3.0,1770,3
nitesh hyde park,3.8,hulimavu,75.1,0.7509999999999999,969,2
brigade parkside north,3.7,"jalahalli, bel road",85.0,0.85,1207,2
nr windgates,,"chokkanahalli, near thanisandra",111.00000000000001,1.11,1549,3
shapoorji pallonji parkwest 2,,"binny pete, magadi road",165.0,1.65,1455,2
sapthagiri sandalwoods,,kadugodi,111.00000000000001,1.11,1483,3
mukunda nandanam,,kr puram,109.00000000000001,1.09,1555,3
prestige lakeside habitat,4.3,"gunjur, near varthur",231.0,2.31,1697,3
shriram southern crest,4.0,jp nagar,180.0,1.8,1300,2
sobha clovelly,,"kadarenahalli, banashankari",320.0,3.2,2350,3
nitesh hyde park,3.8,hulimavu,54.68,0.5468,699,1
